participant	content
MOT	quiet 
MOT	alright Hagrid we're gonna build we're gonna stack the blocks 
CHI	it's mine 
CHI	no I wanna play with it 
MOT	hello 
CHI	mm  good 
MOT	oh wow putting your cheerios in the teapot 
CHI	 do that 
MOT	oh no 
MOT	that's her belly 
MOT	okay you put  some put some milk  
MOT	it's delicious 
CHI	how bout that cup 
MOT	is she doing dodos 
CHI	how bout the baby 
MOT	 
CHI	yeah no he wants some 
MOT	milk 
CHI	oops 
MOT	oh is there another one in there 
CHI	put it that one 
MOT	okay 
MOT	is it good milk 
CHI	 
CHI	oh want that 
MOT	it's porridge 
CHI	it's porridge 
MOT	okay what about the baby 
MOT	oh does the baby need some milk Hagrid 
MOT	she hasta go dodos 
MOT	here's the big big baby and the little baby 
MOT	mm good 
MOT	I know you do 
CHI	it's Mommy 
MOT	who are you talking to 
MOT	it's delicious 
MOT	where's the where's the little baby Hagrid 
MOT	are we gonna have a cup of tea 
MOT	is she gonna have something to drink 
MOT	oh thank_you Hagrid 
MOT	is that juice 
CHI	oh I wanna  
CHI	yes it's milk 
MOT	she gon have something to drink 
CHI	he's talking the elephant 
CHI	 what the phone 
CHI	no that's that's that the elephant 
CHI	hello 
MOT	she go dodos 
CHI	he says there's some there's a phone 
CHI	that's the that's the way we  you got this belly 
MOT	it's milk 
MOT	who's there 
MOT	the baby's gonna have some milk  
CHI	no no it's nothing there Mama 
MOT	oh you wanna put it like that okay 
MOT	okay 
MOT	it's another baby 
CHI	that's my cup 
CHI	this belly 
CHI	no put it in there 
CHI	 milk in there 
CHI	 
MOT	 
MOT	are you having your milk 
MOT	oh and you're eating the cheerios 
CHI	what's in there 
CHI	no that one's the baby 
MOT	it's a baby 
CHI	I'm talking 
CHI	that's my phone 
MOT	very good 
CHI	is  tummy 
MOT	try again 
MOT	or was it porridge 
MOT	oh you're stirring your cheerios 
MOT	 she do dodos 
MOT	oh there's the little baby 
MOT	is it delicious 
CHI	hm it's milk in there 
CHI	he's talking the elephant 
MOT	oh ah very good oh 
MOT	it's  
MOT	Rachel 
MOT	that's her belly 
MOT	and she's gonna have some milk 
MOT	the elephant 
CHI	and more  more  more milk 
MOT	that's a tiny baby 
MOT	that's her belly 
CHI	milk 
MOT	mm  
CHI	 there  milk in there 
CHI	this is a another baby 
MOT	okay Mommy's gonna pretend  
